Account,total_trades,total_volume,avg_trade_size,total_pnl,avg_pnl,pnl_std,buy_ratio,win_rate,avg_fee,unique_coins,avg_fg_value,risk_adjusted_return,cluster,pca_x,pca_y
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,25729497.24,2600.7780491256444,379095.406711,38.3195599627009,172.52077341762578,0.4982310724754877,0.8108763772364298,0.26233287594056404,98,62.944910542808046,0.22211562818548053,2,-2.608015870784461,-2.575098732073635
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,5844484.45,3748.8675112251444,14900.443047,9.557692781911483,72.5611952371814,0.44323284156510584,0.45221295702373315,0.5004598479538165,7,27.763951250801796,0.13171906486201296,0,-0.5137466272645924,0.017593296098665934
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,10143758.13,2204.6855314062163,-167621.124781,-36.43145507085416,1647.7789842055993,0.49163225385785697,0.38274288198217776,0.3432700395392306,7,50.056726798522064,-0.022109430585084147,0,0.07048555236231023,0.4039904752610915
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,11999173.37,6279.002286760858,65513.657906,34.2823955552067,325.75560971336085,0.6043956043956044,0.33019361590790164,1.7712622807849294,10,53.02564102564103,0.10523961685685933,0,-0.43603700567073717,1.4369330839072785
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,12304786.84,820.4285131350847,43917.008976,2.928191023869849,68.6130409480178,0.46432857714361914,0.26196826243499133,0.25286992235431394,94,64.20642752366982,0.0426768874169021,2,-1.8976354991020703,-0.7105259018591149
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,10992355.74,3601.689298820446,126578.942134,41.47409637418087,220.3877348338997,0.6893840104849279,0.2853866317169069,0.9246260810157274,7,70.54390563564876,0.1881869533503703,0,-0.6894974255448425,1.944632722594084
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,19868207.98,1273.1950003204101,106302.875256,6.81210350887536,68.2349036218229,0.6397308554950336,0.3457866068567767,0.14661681724474207,15,59.14745273950657,0.09983312274653397,0,-1.584534119148272,1.297329221659407
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,861809.4,2066.6892086330936,72846.484272,174.6918088057554,976.068751360001,0.37410071942446044,0.5731414868105515,0.4554868213669065,9,70.9832134292566,0.17897490167813418,0,0.6539096818325147,-1.2979030161936995
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,1677425.72,2979.4417761989343,67845.619531,120.50731710657195,474.8098365007934,0.5896980461811723,0.40852575488454707,0.9746523350088809,5,56.51687388987567,0.2538012228109571,0,-0.06500411831855717,0.7660586847114645
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,4448323.26,8330.193370786517,21758.831753,40.746875941947565,288.26612386189584,0.5692883895131086,0.32209737827715357,1.0145048866037452,5,35.09925093632959,0.14135159343755843,0,-0.15361310214702187,1.4795445547419286
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,56543565.23,3837.885375008484,2143382.597689,145.48174829898866,1374.0264020518678,0.4549650444580194,0.3371343243059798,1.0856796478531188,69,54.610941424014115,0.10587987835003546,2,-0.2511132636443933,-0.7417826979568779
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,108877041.1,22504.555828854896,22488.500821,4.648305254443986,332.0834053908585,0.48945845390657294,0.4386109962794543,5.920457568210004,7,28.20008267879289,0.01399740299872251,0,-0.12192811104294943,1.637037990681643
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,68036340.24,3210.472831257078,940163.80622,44.364090516232544,567.7627628499143,0.528265383163458,0.46758210645526616,0.40565806276986605,3,32.08012457531144,0.07813842932133258,0,-1.1042307074571405,0.49790880808747695
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,20737391.71,7852.098337750852,220519.061853,83.49831952025748,1530.5250331047494,0.45172283226050736,0.32752745172283226,1.8073072640780008,26,44.08254449072321,0.05455534389455677,0,0.7203740503670537,0.27181458589973084
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,74107810.44,1844.2118863229146,836080.553077,20.806304824731235,264.1238803160226,0.43333167429822816,0.428230141349791,0.3322939405970038,16,47.93149014533147,0.07877479612913689,2,-2.0341815957666833,-0.01632508413284963
